Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,Math (18x18),Chip Globals,PLL
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_3/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_3/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/Primitives,526,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_1_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_1_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_2_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_2_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_3_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_3_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_4_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_4_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_5_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_5_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_6_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_6_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_7_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank0_bank0_7_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_1_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_1_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_2_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_2_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_3_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_3_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_4_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_4_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_5_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_5_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_6_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_6_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_7_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank1_bank1_7_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_1_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_1_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_2_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_2_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_3_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_3_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_4_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_4_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_5_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_5_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_6_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_6_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_7_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank2_bank2_7_1/Primitives,0,0,12,12,0,0,1,0,0,0
